"WAR","Year","above_threshold"
0,1994,FALSE
0,1993,FALSE
0,1993,FALSE
0,1992,FALSE
0,1991,FALSE
-0.1,1992,FALSE
-0.1,1992,FALSE
-0.1,1991,FALSE
-0.2,1995,FALSE
-0.2,1995,FALSE
-0.2,1995,FALSE
-0.2,1995,FALSE
-0.2,1995,FALSE
-0.2,1994,FALSE
-0.2,1994,FALSE
-0.2,1993,FALSE
-0.2,1993,FALSE
-0.2,1992,FALSE
-0.3,1995,FALSE
-0.3,1995,FALSE
-0.3,1994,FALSE
-0.3,1994,FALSE
-0.3,1994,FALSE
-0.3,1993,FALSE
-0.3,1993,FALSE
-0.3,1991,FALSE
-0.4,1995,FALSE
-0.4,1995,FALSE
-0.4,1994,FALSE
-0.4,1993,FALSE
-0.4,1993,FALSE
-0.4,1993,FALSE
-0.4,1993,FALSE
-0.4,1993,FALSE
-0.4,1993,FALSE
-0.4,1992,FALSE
-0.4,1992,FALSE
-0.4,1992,FALSE
-0.4,1992,FALSE
-0.4,1991,FALSE
-0.5,1995,FALSE
-0.5,1994,FALSE
-0.5,1993,FALSE
-0.5,1993,FALSE
-0.5,1993,FALSE
-0.5,1993,FALSE
-0.5,1992,FALSE
-0.5,1992,FALSE
-0.5,1992,FALSE
-0.5,1991,FALSE
-0.6,1995,FALSE
-0.6,1995,FALSE
-0.6,1994,FALSE
-0.6,1994,FALSE
-0.6,1994,FALSE
-0.6,1992,FALSE
-0.6,1992,FALSE
-0.6,1991,FALSE
-0.6,1991,FALSE
-0.7,1995,FALSE
-0.7,1995,FALSE
-0.7,1994,FALSE
-0.7,1992,FALSE
-0.7,1992,FALSE
-0.7,1991,FALSE
-0.7,1991,FALSE
-0.8,1994,FALSE
-0.8,1994,FALSE
-0.8,1993,FALSE
-0.8,1992,FALSE
-0.8,1992,FALSE
-0.9,1991,FALSE
-1,1995,FALSE
-1,1993,FALSE
-1,1993,FALSE
-1.1,1995,FALSE
-1.1,1995,FALSE
-1.1,1994,FALSE
-1.1,1992,FALSE
-1.1,1992,FALSE
-1.1,1991,FALSE
-1.2,1994,FALSE
-1.3,1992,FALSE
-1.3,1991,FALSE
-1.6,1993,FALSE
-1.7,1995,FALSE
-2.5,1993,FALSE
4,2000,TRUE
2.6,1999,TRUE
2.3,1997,TRUE
2.3,1997,TRUE
2.1,1998,TRUE
2,1996,TRUE
1.7,1999,TRUE
1.6,1996,TRUE
1.5,1998,TRUE
1.5,1996,TRUE
1.2,2000,TRUE
1.2,1999,TRUE
1.2,1999,TRUE
1,2000,TRUE
1,1998,TRUE
0.9,1999,TRUE
0.8,2000,TRUE
0.8,1999,TRUE
0.8,1997,TRUE
0.8,1996,TRUE
0.7,2000,TRUE
0.7,2000,TRUE
0.6,2000,TRUE
0.6,1999,TRUE
0.6,1997,TRUE
0.6,1996,TRUE
0.6,1996,TRUE
0.5,2000,TRUE
0.5,1996,TRUE
0.4,2000,TRUE
0.4,2000,TRUE
0.4,1999,TRUE
0.4,1998,TRUE
0.4,1997,TRUE
0.3,2000,TRUE
0.3,2000,TRUE
0.3,1999,TRUE
0.3,1999,TRUE
0.3,1998,TRUE
0.2,2000,FALSE
0.2,1999,TRUE
0.2,1999,TRUE
0.2,1998,FALSE
0.2,1998,FALSE
0.2,1997,FALSE
0.1,2000,FALSE
0.1,2000,FALSE
0.1,1999,FALSE
0.1,1998,FALSE
0.1,1998,FALSE
0.1,1998,FALSE
0.1,1998,FALSE
0.1,1997,FALSE
0.1,1996,TRUE
0.1,1996,TRUE
0,2000,FALSE
0,2000,FALSE
0,1999,FALSE
0,1999,FALSE
0,1999,FALSE
0,1999,FALSE
0,1998,FALSE
0,1997,FALSE
0,1997,FALSE
0,1996,FALSE
0,1996,FALSE
-0.1,2000,FALSE
-0.1,1999,FALSE
-0.1,1999,FALSE
-0.1,1998,FALSE
-0.1,1996,FALSE
-0.2,2000,FALSE
-0.2,2000,FALSE
-0.2,2000,FALSE
-0.2,1999,FALSE
-0.2,1999,FALSE
-0.2,1999,FALSE
-0.2,1999,FALSE
-0.2,1998,FALSE
-0.2,1997,FALSE
-0.2,1996,FALSE
-0.3,2000,FALSE
-0.3,1999,FALSE
-0.3,1999,FALSE
-0.3,1999,FALSE
-0.3,1998,FALSE
-0.3,1998,FALSE
-0.3,1997,FALSE
-0.3,1997,FALSE
-0.3,1997,FALSE
-0.4,2000,FALSE
-0.4,1999,FALSE
-0.4,1998,FALSE
-0.4,1997,FALSE
-0.4,1997,FALSE
-0.4,1997,FALSE
-0.4,1996,FALSE
-0.4,1996,FALSE
-0.5,2000,FALSE
-0.5,1999,FALSE
-0.5,1998,FALSE
-0.5,1998,FALSE
-0.5,1998,FALSE
-0.5,1997,FALSE
-0.5,1996,FALSE
-0.6,1999,FALSE
-0.6,1999,FALSE
-0.6,1998,FALSE
-0.6,1998,FALSE
-0.6,1997,FALSE
-0.6,1997,FALSE
-0.7,2000,FALSE
-0.7,2000,FALSE
-0.7,1998,FALSE
-0.7,1998,FALSE
-0.7,1996,FALSE
-0.8,2000,FALSE
-0.8,2000,FALSE
-0.8,2000,FALSE
-0.8,2000,FALSE
-0.8,2000,FALSE
-0.8,1999,FALSE
-0.8,1998,FALSE
-0.8,1996,FALSE
-0.9,1999,FALSE
-0.9,1998,FALSE
-0.9,1998,FALSE
-0.9,1998,FALSE
-0.9,1998,FALSE
-1,2000,FALSE
-1,1998,FALSE
-1,1998,FALSE
-1,1998,FALSE
-1,1997,FALSE
-1.1,1998,FALSE
-1.1,1998,FALSE
-1.1,1997,FALSE
-1.1,1997,FALSE
-1.1,1996,FALSE
-1.1,1996,FALSE
-1.1,1996,FALSE
-1.2,2000,FALSE
-1.2,2000,FALSE
-1.2,1997,FALSE
-1.2,1997,FALSE
-1.4,1996,FALSE
-1.8,1996,FALSE
-1.9,1998,FALSE
-2,1998,FALSE
-2,1996,FALSE
-2.4,1999,FALSE
-2.8,1999,FALSE
2.8,2001,TRUE
2.4,2005,TRUE
2.1,2001,TRUE
1.8,2005,TRUE
1.7,2003,TRUE
1.7,2003,TRUE
1.6,2002,TRUE
1.5,2005,TRUE
1.3,2004,TRUE
1.3,2002,TRUE
1.3,2001,TRUE
1.1,2003,TRUE
0.9,2005,TRUE
0.9,2001,TRUE
0.8,2005,TRUE
0.8,2003,TRUE
